UF,CIDADE,%,Preço Cliente Prop (arredon),Preço Real Prop,Dt Cadas Propost,ID Barco,Nome do Barco,Dias da Semana,Preço Barqueiro,Nome do Roteiro,Tempo Embarcado (H),Cap. Barco,N. Pessoas,OBS,Espécies,Modalidade,Local de Embarque,Hora Saída ,Cortesia,Vitrine?,Preço,Tempo ,Capacidad,Roteiro,Modalidade2
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1900,Búzios,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1900,Castelhanos,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2200,Vitória,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2200,Sombrio,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2200,Bonete,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2600,Farol do Boi,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,2600,Montão do Trigo,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2100,Poção,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2100,Ponta da Sela,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2400,Búzios,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2400,Castelhanos,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2800,Vitória,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2800,Sombrio,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,2800,Bonete,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,3000,Farol do Boi,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,2258,Isabela,sábado; feriado,3000,Montão do Trigo,21,16,16,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
